Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
417506,CIM,Càmera mòbil,4,Mastil,2,Eixample,7,la Dreta de l'Eixample,430574912,4583402183,2.1694817,41.3991627,2000-01-01T00:00:00Z
417589,CIM,Càmera mòbil,10,Mastil,2,Eixample,7,la Dreta de l'Eixample,430583868,4581882316,2.169763,41.385474,2000-01-01T00:00:00Z
417590,CIF,Càmera fixa,130,Mastil,2,Eixample,7,la Dreta de l'Eixample,430583868,4581882316,2.169763,41.385474,2000-01-01T00:00:00Z
417592,DOMO,Càmera mòbil,83,Mastil,2,Eixample,7,la Dreta de l'Eixample,430734962,4582042719,2.1715516,41.386932,2000-01-01T00:00:00Z
417594,CIF,Càmera fixa,125,Mastil,2,Eixample,5,el Fort Pienc,431561819,4583402911,2.1812866,41.3992541,2000-01-01T00:00:00Z
417596,CIM,Càmera mòbil,100,Mastil,2,Eixample,5,el Fort Pienc,431462349,4583682855,2.1800651,41.4017662,2000-01-01T00:00:00Z
417598,CIM,Càmera mòbil,22,Mastil,2,Eixample,6,la Sagrada Família,431168493,4583585220,2.176561,41.4008618,2000-01-01T00:00:00Z
417600,CIM,Càmera mòbil,101,Mastil,2,Eixample,6,la Sagrada Família,431101666,4583912340,2.1757245,41.403803,2000-01-01T00:00:00Z
417602,CIM,Càmera mòbil,104,Mastil,10,Sant Martí,65,el Clot,431847564,4584270267,2.1846069,41.4070899,2000-01-01T00:00:00Z
417604,CIM,Càmera mòbil,36,Mastil,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,432342515,4583923914,2.1905668,41.4040123,2000-01-01T00:00:00Z
417605,CIF,Càmera fixa,131,Mastil,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,432342515,4583923914,2.1905668,41.4040123,2000-01-01T00:00:00Z
417607,CIM,Càmera mòbil,35,Mastil,10,Sant Martí,71,Provençals del Poblenou,432524642,4584112815,2.1927245,41.4057292,2000-01-01T00:00:00Z
417609,CIM,Càmera mòbil,8,Mastil,10,Sant Martí,65,el Clot,432045113,4584627186,2.1869301,41.4103218,2000-01-01T00:00:00Z
417612,CIF,Càmera fixa,121,Mastil,10,Sant Martí,71,Provençals del Poblenou,432984787,4584788315,2.1981543,41.4118516,2000-01-01T00:00:00Z
417634,CIM,Càmera mòbil,102,Mastil,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,432147129,4583007262,2.1883322,41.3957397,2000-01-01T00:00:00Z
417636,CIM,Càmera mòbil,103,Mastil,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,432013459,4583303848,2.1867002,41.3984001,2000-01-01T00:00:00Z
417639,CIM,Càmera mòbil,98,Mastil,2,Eixample,7,la Dreta de l'Eixample,429727346,4583143350,2.1593735,41.3967578,2000-01-01T00:00:00Z
417652,DOMO,Càmera mòbil,80,Mastil,4,Les Corts,19,les Corts,427016873,4582239428,2.1270623,41.3883751,2000-01-01T00:00:00Z
417653,CIF,Càmera fixa,118,Mastil,4,Les Corts,19,les Corts,427016873,4582239428,2.1270623,41.3883751,2000-01-01T00:00:00Z
417656,CIM,Càmera mòbil,91,Mastil,4,Les Corts,21,Pedralbes,426649208,4582120246,2.1226797,41.3872681,2000-01-01T00:00:00Z
417663,CIM,Càmera mòbil,15,Mastil,4,Les Corts,19,les Corts,428325077,4581922942,2.1427452,41.3856419,2000-01-01T00:00:00Z
417665,CIM,Càmera mòbil,90,Mastil,5,Sarrià-Sant Gervasi,24,les Tres Torres,427636800,4583035388,2.1343813,41.3955999,2000-01-01T00:00:00Z
417667,CIM,Càmera mòbil,13,Mastil,5,Sarrià-Sant Gervasi,24,les Tres Torres,427492515,4583266714,2.1326278,41.3976705,2000-01-01T00:00:00Z
417669,CIM,Càmera mòbil,89,Fanal,5,Sarrià-Sant Gervasi,23,Sarrià,426674164,4583613545,2.1227973,41.4007198,2000-01-01T00:00:00Z
