"idClienteEprinsa","AñoMes","Identificador","NumLámparasTotal","NumLámparasMercurio","NumLámparasHalogenuros","NumLámparasFluorescentes","NumLámparasSodio","NumLámparasLED","NumLámparasOtros","Tipo","Dirección","Descripción","CoordenadaX","CoordenadaY"
"1009","202406","NDA.ENE.007.1814832","955","0","917","0","0","38","0","Halogenuros","Calle Lagares, 2","Puntos de luz - BELMEZ  - idSig: 1814832","307308","4231700"
"1009","202406","NDA.ENE.007.1814700","955","0","917","0","0","38","0","Halogenuros","Calle Nueva {Doña Rama}, 30","Puntos de luz - BELMEZ  - idSig: 1814700","301207","4232802"
"1009","202406","NDA.ENE.007.1814500","955","0","917","0","0","38","0","Halogenuros","Calle San Gregorio, 41","Puntos de luz - BELMEZ  - idSig: 1814500","306536","4238145"
"1009","202406","NDA.ENE.007.1814218","955","0","917","0","0","38","0","Halogenuros","Calle Hilario J Solano, 6","Puntos de luz - BELMEZ  - idSig: 1814218","306835","4237988"
"1009","202406","NDA.ENE.007.1814407","955","0","917","0","0","38","0","Halogenuros","Calle Real, 17","Puntos de luz - BELMEZ  - idSig: 1814407","306980","4238323"
"1009","202406","NDA.ENE.007.1814637","955","0","917","0","0","38","0","Halogenuros","Calle Real {Hoyo}, 18","Puntos de luz - BELMEZ  - idSig: 1814637","299299","4235641"
"1009","202406","NDA.ENE.007.1814298","955","0","917","0","0","38","0","Halogenuros","Calle Lermanda, 25","Puntos de luz - BELMEZ  - idSig: 1814298","306974","4237952"
"1009","202406","NDA.ENE.007.1813883","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813883","306728","4237765"
"1009","202406","NDA.ENE.007.1814016","955","0","917","0","0","38","0","Halogenuros","Calle Pilar, 5","Puntos de luz - BELMEZ  - idSig: 1814016","306799","4238443"
"1009","202406","NDA.ENE.007.1814299","955","0","917","0","0","38","0","Halogenuros","Calle Lermanda, 13","Puntos de luz - BELMEZ  - idSig: 1814299","306980","4237972"
"1009","202406","NDA.ENE.007.1814653","955","0","917","0","0","38","0","Halogenuros","Calle Real {Hoyo}, 18","Puntos de luz - BELMEZ  - idSig: 1814653","299291","4235638"
